Running compare_preferences with the following options:
Using distance function Jensen-Shannon
Using sites [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 498]
Running in output directory /fh/fast/bloom_j/grp/mapmuts/examples/2015_NP_homolog_comparison/compare_prefs_output/
Performing comparisons between the following pairs of groups:

Comparison #1:
Comparing Aichi/1968 previous study vs Aichi/1968 current study
Preference files for Aichi/1968 previous study: ['Aichi68A_replicate_1_prefs.txt', 'Aichi68A_replicate_2_prefs.txt', 'Aichi68A_replicate_3_prefs.txt', 'Aichi68A_replicate_4_prefs.txt', 'Aichi68B_replicate_1_prefs.txt', 'Aichi68B_replicate_2_prefs.txt', 'Aichi68B_replicate_3_prefs.txt', 'Aichi68B_replicate_4_prefs.txt']
Preference files for Aichi/1968 current study: ['Aichi68C_replicate_1_prefs.txt', 'Aichi68C_replicate_2_prefs.txt']
----------------

Comparison #2:
Comparing Aichi/1968 vs PR/1934
Preference files for Aichi/1968: ['Aichi68A_replicate_1_prefs.txt', 'Aichi68A_replicate_2_prefs.txt', 'Aichi68A_replicate_3_prefs.txt', 'Aichi68A_replicate_4_prefs.txt', 'Aichi68B_replicate_1_prefs.txt', 'Aichi68B_replicate_2_prefs.txt', 'Aichi68B_replicate_3_prefs.txt', 'Aichi68B_replicate_4_prefs.txt', 'Aichi68C_replicate_1_prefs.txt', 'Aichi68C_replicate_2_prefs.txt']
Preference files for PR/1934: ['PR8_replicate_1_prefs.txt', 'PR8_replicate_2_prefs.txt', 'PR8_replicate_3_prefs.txt']
----------------

Comparison #3:
Comparing PR/1934 vs HA
Preference files for PR/1934: ['PR8_replicate_1_prefs.txt_stripped', 'PR8_replicate_2_prefs.txt_stripped', 'PR8_replicate_3_prefs.txt_stripped']
Preference files for HA: ['WSN_HA_rep1_prefs.txt_stripped', 'WSN_HA_rep2_prefs.txt_stripped', 'WSN_HA_rep3_prefs.txt_stripped']
----------------

Beginning comparision: Aichi/1968 previous study vs Aichi/1968 current study
Found r_diff of 0.156966 for scaling parameter of 10.660000.
Found r_diff of 0.137298 for scaling parameter of 10.680000.
Found r_diff of 0.138376 for scaling parameter of 10.700000.
Found r_diff of 0.126634 for scaling parameter of 10.720000.
Found r_diff of 0.141898 for scaling parameter of 10.740000.
Found r_diff of 0.154086 for scaling parameter of 10.760000.
Found r_diff of 0.143397 for scaling parameter of 10.780000.
Found r_diff of 0.135501 for scaling parameter of 10.800000.
Found r_diff of 0.133036 for scaling parameter of 10.820000.
Found r_diff of 0.151657 for scaling parameter of 10.840000.
Found r_diff of 0.149901 for scaling parameter of 10.860000.
Found r_diff of 0.120258 for scaling parameter of 10.880000.
Found r_diff of 0.119196 for scaling parameter of 10.900000.
Found r_diff of 0.144499 for scaling parameter of 10.920000.
Found r_diff of 0.142279 for scaling parameter of 10.940000.
Found r_diff of 0.127457 for scaling parameter of 10.960000.
Found r_diff of 0.141317 for scaling parameter of 10.980000.
Found r_diff of 0.155529 for scaling parameter of 11.000000.
Found r_diff of 0.133895 for scaling parameter of 11.020000.
Found r_diff of 0.138089 for scaling parameter of 11.040000.
Found r_diff of 0.134956 for scaling parameter of 11.060000.
Found r_diff of 0.123491 for scaling parameter of 11.080000.
Found r_diff of 0.131723 for scaling parameter of 11.100000.
Found r_diff of 0.146770 for scaling parameter of 11.120000.
Found r_diff of 0.127999 for scaling parameter of 11.140000.
Found r_diff of 0.135852 for scaling parameter of 11.160000.
Found r_diff of 0.132252 for scaling parameter of 11.180000.
Found r_diff of 0.135716 for scaling parameter of 11.200000.
Found r_diff of 0.115228 for scaling parameter of 11.220000.
Found r_diff of 0.134148 for scaling parameter of 11.240000.
Found r_diff of 0.122945 for scaling parameter of 11.260000.
Found r_diff of 0.142755 for scaling parameter of 11.280000.
Found r_diff of 0.134125 for scaling parameter of 11.300000.
Found r_diff of 0.121377 for scaling parameter of 11.320000.
Found r_diff of 0.143288 for scaling parameter of 11.340000.
Found r_diff of 0.129201 for scaling parameter of 11.360000.
Found r_diff of 0.122886 for scaling parameter of 11.380000.
Found r_diff of 0.125949 for scaling parameter of 11.400000.
Found r_diff of 0.134448 for scaling parameter of 11.420000.
Found r_diff of 0.122224 for scaling parameter of 11.440000.
Found r_diff of 0.118327 for scaling parameter of 11.460000.
Found r_diff of 0.136692 for scaling parameter of 11.480000.
Found r_diff of 0.125426 for scaling parameter of 11.500000.
Found r_diff of 0.119591 for scaling parameter of 11.520000.
Found r_diff of 0.119698 for scaling parameter of 11.540000.
Found r_diff of 0.119335 for scaling parameter of 11.560000.
Found r_diff of 0.130425 for scaling parameter of 11.580000.
Found r_diff of 0.117131 for scaling parameter of 11.600000.
Found r_diff of 0.109540 for scaling parameter of 11.620000.
Found r_diff of 0.116560 for scaling parameter of 11.640000.
Found r_diff of 0.107663 for scaling parameter of 11.660000.
Found r_diff of 0.127979 for scaling parameter of 11.680000.
Found r_diff of 0.118833 for scaling parameter of 11.700000.
Found r_diff of 0.125851 for scaling parameter of 11.720000.
Found r_diff of 0.114967 for scaling parameter of 11.740000.
Found r_diff of 0.131469 for scaling parameter of 11.760000.
Found r_diff of 0.130805 for scaling parameter of 11.780000.
Found r_diff of 0.125186 for scaling parameter of 11.800000.
Found r_diff of 0.103089 for scaling parameter of 11.820000.
Found r_diff of 0.105034 for scaling parameter of 11.840000.
Found r_diff of 0.109067 for scaling parameter of 11.860000.
Found r_diff of 0.104933 for scaling parameter of 11.880000.
Found r_diff of 0.136115 for scaling parameter of 11.900000.
Found r_diff of 0.118744 for scaling parameter of 11.920000.
Found r_diff of 0.138315 for scaling parameter of 11.940000.
Found r_diff of 0.101497 for scaling parameter of 11.960000.
Found r_diff of 0.130000 for scaling parameter of 11.980000.
Found r_diff of 0.109696 for scaling parameter of 12.000000.
Found r_diff of 0.125073 for scaling parameter of 12.020000.
Found r_diff of 0.104593 for scaling parameter of 12.040000.
Found r_diff of 0.110011 for scaling parameter of 12.060000.
Found r_diff of 0.116523 for scaling parameter of 12.080000.
Found r_diff of 0.109291 for scaling parameter of 12.100000.
Found r_diff of 0.115418 for scaling parameter of 12.120000.
Found r_diff of 0.119897 for scaling parameter of 12.140000.
Found r_diff of 0.117735 for scaling parameter of 12.160000.
Found r_diff of 0.122149 for scaling parameter of 12.180000.
Found r_diff of 0.118685 for scaling parameter of 12.200000.
Found r_diff of 0.117887 for scaling parameter of 12.220000.
Found r_diff of 0.124724 for scaling parameter of 12.240000.
Found r_diff of 0.114862 for scaling parameter of 12.260000.
Found r_diff of 0.123734 for scaling parameter of 12.280000.
Found r_diff of 0.121612 for scaling parameter of 12.300000.
Found r_diff of 0.108577 for scaling parameter of 12.320000.
Found r_diff of 0.099582 for scaling parameter of 12.340000.
Found r_diff of 0.117035 for scaling parameter of 12.360000.
Found r_diff of 0.136167 for scaling parameter of 12.380000.
Found r_diff of 0.105349 for scaling parameter of 12.400000.
Found r_diff of 0.127401 for scaling parameter of 12.420000.
Found r_diff of 0.109772 for scaling parameter of 12.440000.
Found r_diff of 0.119357 for scaling parameter of 12.460000.
Found r_diff of 0.117808 for scaling parameter of 12.480000.
Found r_diff of 0.107456 for scaling parameter of 12.500000.
Found r_diff of 0.124217 for scaling parameter of 12.520000.
Found r_diff of 0.105951 for scaling parameter of 12.540000.
Found r_diff of 0.094798 for scaling parameter of 12.560000.
Found r_diff of 0.110916 for scaling parameter of 12.580000.
Found r_diff of 0.099786 for scaling parameter of 12.600000.
Found r_diff of 0.093406 for scaling parameter of 12.620000.
Found r_diff of 0.115965 for scaling parameter of 12.640000.
Found r_diff of 0.110344 for scaling parameter of 12.660000.
Found r_diff of 0.090353 for scaling parameter of 12.680000.
Found r_diff of 0.101847 for scaling parameter of 12.700000.
Found r_diff of 0.097410 for scaling parameter of 12.720000.
Found r_diff of 0.108911 for scaling parameter of 12.740000.
Found r_diff of 0.101809 for scaling parameter of 12.760000.
Found r_diff of 0.103997 for scaling parameter of 12.780000.
Found r_diff of 0.097440 for scaling parameter of 12.800000.
Found r_diff of 0.113063 for scaling parameter of 12.820000.
Found r_diff of 0.093136 for scaling parameter of 12.840000.
Found r_diff of 0.093457 for scaling parameter of 12.860000.
Found r_diff of 0.106027 for scaling parameter of 12.880000.
Found r_diff of 0.116421 for scaling parameter of 12.900000.
Found r_diff of 0.099739 for scaling parameter of 12.920000.
Found r_diff of 0.095897 for scaling parameter of 12.940000.
Found r_diff of 0.099784 for scaling parameter of 12.960000.
Found r_diff of 0.088110 for scaling parameter of 12.980000.
Found r_diff of 0.104040 for scaling parameter of 13.000000.
Found r_diff of 0.093973 for scaling parameter of 13.020000.
Found r_diff of 0.086545 for scaling parameter of 13.040000.
Found r_diff of 0.099650 for scaling parameter of 13.060000.
Found r_diff of 0.096180 for scaling parameter of 13.080000.
Found r_diff of 0.113059 for scaling parameter of 13.100000.
Found r_diff of 0.098819 for scaling parameter of 13.120000.
Found r_diff of 0.098329 for scaling parameter of 13.140000.
Found r_diff of 0.087533 for scaling parameter of 13.160000.
Found r_diff of 0.096786 for scaling parameter of 13.180000.
Found r_diff of 0.102205 for scaling parameter of 13.200000.
Found r_diff of 0.105207 for scaling parameter of 13.220000.
Found r_diff of 0.095983 for scaling parameter of 13.240000.
Found r_diff of 0.106644 for scaling parameter of 13.260000.
Found r_diff of 0.091141 for scaling parameter of 13.280000.
Found r_diff of 0.083303 for scaling parameter of 13.300000.
Found r_diff of 0.089329 for scaling parameter of 13.320000.
Found r_diff of 0.107825 for scaling parameter of 13.340000.
Found r_diff of 0.081219 for scaling parameter of 13.360000.
Found r_diff of 0.121471 for scaling parameter of 13.380000.
Found r_diff of 0.106615 for scaling parameter of 13.400000.
Found r_diff of 0.089593 for scaling parameter of 13.420000.
Found r_diff of 0.095417 for scaling parameter of 13.440000.
Found r_diff of 0.088363 for scaling parameter of 13.460000.
Found r_diff of 0.098773 for scaling parameter of 13.480000.
Found r_diff of 0.084729 for scaling parameter of 13.500000.
Found r_diff of 0.093916 for scaling parameter of 13.520000.
Found r_diff of 0.105372 for scaling parameter of 13.540000.
Found r_diff of 0.086879 for scaling parameter of 13.560000.
Found r_diff of 0.088817 for scaling parameter of 13.580000.
Found r_diff of 0.097495 for scaling parameter of 13.600000.
Found r_diff of 0.108469 for scaling parameter of 13.620000.
Found r_diff of 0.102918 for scaling parameter of 13.640000.
Found r_diff of 0.089793 for scaling parameter of 13.660000.
Found r_diff of 0.094749 for scaling parameter of 13.680000.
Found r_diff of 0.104472 for scaling parameter of 13.700000.
Found r_diff of 0.091852 for scaling parameter of 13.720000.
Found r_diff of 0.079607 for scaling parameter of 13.740000.
Found r_diff of 0.078413 for scaling parameter of 13.760000.
Found r_diff of 0.098734 for scaling parameter of 13.780000.
Found r_diff of 0.098314 for scaling parameter of 13.800000.
Found r_diff of 0.076241 for scaling parameter of 13.820000.
Found r_diff of 0.091865 for scaling parameter of 13.840000.
Found r_diff of 0.107323 for scaling parameter of 13.860000.
Found r_diff of 0.081145 for scaling parameter of 13.880000.
Found r_diff of 0.092751 for scaling parameter of 13.900000.
Found r_diff of 0.088279 for scaling parameter of 13.920000.
Found r_diff of 0.106910 for scaling parameter of 13.940000.
Found r_diff of 0.086827 for scaling parameter of 13.960000.
Found r_diff of 0.083175 for scaling parameter of 13.980000.
Found r_diff of 0.079039 for scaling parameter of 14.000000.
Found r_diff of 0.083418 for scaling parameter of 14.020000.
Found r_diff of 0.099406 for scaling parameter of 14.040000.
Found r_diff of 0.083850 for scaling parameter of 14.060000.
Found r_diff of 0.095429 for scaling parameter of 14.080000.
Found r_diff of 0.071534 for scaling parameter of 14.100000.
Found r_diff of 0.069976 for scaling parameter of 14.120000.
Found r_diff of 0.087623 for scaling parameter of 14.140000.
Found r_diff of 0.083821 for scaling parameter of 14.160000.
Found r_diff of 0.081397 for scaling parameter of 14.180000.
Found r_diff of 0.074458 for scaling parameter of 14.200000.
Found r_diff of 0.103556 for scaling parameter of 14.220000.
Found r_diff of 0.082842 for scaling parameter of 14.240000.
Found r_diff of 0.085686 for scaling parameter of 14.260000.
Found r_diff of 0.072276 for scaling parameter of 14.280000.
Found r_diff of 0.085588 for scaling parameter of 14.300000.
Found r_diff of 0.107026 for scaling parameter of 14.320000.
Found r_diff of 0.069955 for scaling parameter of 14.340000.
Found r_diff of 0.076224 for scaling parameter of 14.360000.
Found r_diff of 0.064341 for scaling parameter of 14.380000.
Found r_diff of 0.078436 for scaling parameter of 14.400000.
Found r_diff of 0.072081 for scaling parameter of 14.420000.
Found r_diff of 0.061723 for scaling parameter of 14.440000.
Found r_diff of 0.067718 for scaling parameter of 14.460000.
Found r_diff of 0.086180 for scaling parameter of 14.480000.
Found r_diff of 0.084505 for scaling parameter of 14.500000.
Found r_diff of 0.073772 for scaling parameter of 14.520000.
Found r_diff of 0.067575 for scaling parameter of 14.540000.
Found r_diff of 0.067833 for scaling parameter of 14.560000.
Found r_diff of 0.077718 for scaling parameter of 14.580000.
Found r_diff of 0.070271 for scaling parameter of 14.600000.
Found r_diff of 0.079423 for scaling parameter of 14.620000.
Found r_diff of 0.070276 for scaling parameter of 14.640000.
Found r_diff of 0.086488 for scaling parameter of 14.660000.
Found r_diff of 0.063619 for scaling parameter of 14.680000.
Found r_diff of 0.074104 for scaling parameter of 14.700000.
Found r_diff of 0.079773 for scaling parameter of 14.720000.
Found r_diff of 0.069031 for scaling parameter of 14.740000.
Found r_diff of 0.064464 for scaling parameter of 14.760000.
Found r_diff of 0.081032 for scaling parameter of 14.780000.
Found r_diff of 0.074132 for scaling parameter of 14.800000.
Found r_diff of 0.081606 for scaling parameter of 14.820000.
Found r_diff of 0.077212 for scaling parameter of 14.840000.
Found r_diff of 0.053290 for scaling parameter of 14.860000.
Found r_diff of 0.050672 for scaling parameter of 14.880000.
Found r_diff of 0.075603 for scaling parameter of 14.900000.
Found r_diff of 0.064014 for scaling parameter of 14.920000.
Found r_diff of 0.074002 for scaling parameter of 14.940000.
Found r_diff of 0.059747 for scaling parameter of 14.960000.
Found r_diff of 0.066186 for scaling parameter of 14.980000.
Found r_diff of 0.068989 for scaling parameter of 15.000000.
Found r_diff of 0.070835 for scaling parameter of 15.020000.
Found r_diff of 0.065017 for scaling parameter of 15.040000.
Found r_diff of 0.050718 for scaling parameter of 15.060000.
Found r_diff of 0.073884 for scaling parameter of 15.080000.
Found r_diff of 0.068503 for scaling parameter of 15.100000.
Found r_diff of 0.067842 for scaling parameter of 15.120000.
Found r_diff of 0.063701 for scaling parameter of 15.140000.
Found r_diff of 0.066637 for scaling parameter of 15.160000.
Found r_diff of 0.072382 for scaling parameter of 15.180000.
Found r_diff of 0.066189 for scaling parameter of 15.200000.
Found r_diff of 0.074733 for scaling parameter of 15.220000.
Found r_diff of 0.058099 for scaling parameter of 15.240000.
Found r_diff of 0.065093 for scaling parameter of 15.260000.
Found r_diff of 0.051354 for scaling parameter of 15.280000.
Found r_diff of 0.060704 for scaling parameter of 15.300000.
Found r_diff of 0.058204 for scaling parameter of 15.320000.
Found r_diff of 0.049224 for scaling parameter of 15.340000.
Found r_diff of 0.064465 for scaling parameter of 15.360000.
Found r_diff of 0.067803 for scaling parameter of 15.380000.
Found r_diff of 0.069267 for scaling parameter of 15.400000.
Found r_diff of 0.072626 for scaling parameter of 15.420000.
Found r_diff of 0.052305 for scaling parameter of 15.440000.
Found r_diff of 0.060998 for scaling parameter of 15.460000.
Found r_diff of 0.055042 for scaling parameter of 15.480000.
Found r_diff of 0.062091 for scaling parameter of 15.500000.
Found r_diff of 0.065158 for scaling parameter of 15.520000.
Found r_diff of 0.071214 for scaling parameter of 15.540000.
Found r_diff of 0.066958 for scaling parameter of 15.560000.
Found r_diff of 0.063545 for scaling parameter of 15.580000.
Found r_diff of 0.056143 for scaling parameter of 15.600000.
Found r_diff of 0.057678 for scaling parameter of 15.620000.
Found r_diff of 0.054773 for scaling parameter of 15.640000.
Found r_diff of 0.066021 for scaling parameter of 15.660000.
Found r_diff of 0.074812 for scaling parameter of 15.680000.
Found r_diff of 0.066290 for scaling parameter of 15.700000.
Found r_diff of 0.051067 for scaling parameter of 15.720000.
Found r_diff of 0.067675 for scaling parameter of 15.740000.
Found r_diff of 0.055113 for scaling parameter of 15.760000.
Found r_diff of 0.046665 for scaling parameter of 15.780000.
Found r_diff of 0.048388 for scaling parameter of 15.800000.
Found r_diff of 0.057238 for scaling parameter of 15.820000.
Found r_diff of 0.080094 for scaling parameter of 15.840000.
Found r_diff of 0.058959 for scaling parameter of 15.860000.
Found r_diff of 0.064573 for scaling parameter of 15.880000.
Found r_diff of 0.057539 for scaling parameter of 15.900000.
Found r_diff of 0.053000 for scaling parameter of 15.920000.
Found r_diff of 0.070952 for scaling parameter of 15.940000.
Found r_diff of 0.052749 for scaling parameter of 15.960000.
Found r_diff of 0.057884 for scaling parameter of 15.980000.
Found r_diff of 0.066577 for scaling parameter of 16.000000.
Found r_diff of 0.049181 for scaling parameter of 16.020000.
Found r_diff of 0.056565 for scaling parameter of 16.040000.
Found r_diff of 0.054271 for scaling parameter of 16.060000.
Found r_diff of 0.053830 for scaling parameter of 16.080000.
Found r_diff of 0.073279 for scaling parameter of 16.100000.
Found r_diff of 0.042020 for scaling parameter of 16.120000.
Found r_diff of 0.047510 for scaling parameter of 16.140000.
Found r_diff of 0.042732 for scaling parameter of 16.160000.
Found r_diff of 0.040361 for scaling parameter of 16.180000.
Found r_diff of 0.064040 for scaling parameter of 16.200000.
Found r_diff of 0.047895 for scaling parameter of 16.220000.
Found r_diff of 0.051797 for scaling parameter of 16.240000.
Found r_diff of 0.045265 for scaling parameter of 16.260000.
Found r_diff of 0.069049 for scaling parameter of 16.280000.
Found r_diff of 0.054109 for scaling parameter of 16.300000.
Found r_diff of 0.072582 for scaling parameter of 16.320000.
Found r_diff of 0.042306 for scaling parameter of 16.340000.
Found r_diff of 0.058027 for scaling parameter of 16.360000.
Found r_diff of 0.034684 for scaling parameter of 16.380000.
Found r_diff of 0.053816 for scaling parameter of 16.400000.
Found r_diff of 0.053381 for scaling parameter of 16.420000.
Found r_diff of 0.050595 for scaling parameter of 16.440000.
Found r_diff of 0.049485 for scaling parameter of 16.460000.
Found r_diff of 0.052863 for scaling parameter of 16.480000.
Found r_diff of 0.041085 for scaling parameter of 16.500000.
Found r_diff of 0.045321 for scaling parameter of 16.520000.
Found r_diff of 0.060611 for scaling parameter of 16.540000.
Found r_diff of 0.053911 for scaling parameter of 16.560000.
Found r_diff of 0.059798 for scaling parameter of 16.580000.
Found r_diff of 0.043945 for scaling parameter of 16.600000.
Found r_diff of 0.050079 for scaling parameter of 16.620000.
Found r_diff of 0.052266 for scaling parameter of 16.640000.
Found r_diff of 0.062695 for scaling parameter of 16.660000.
Found r_diff of 0.042136 for scaling parameter of 16.680000.
Found r_diff of 0.051730 for scaling parameter of 16.700000.
Found r_diff of 0.049062 for scaling parameter of 16.720000.
Found r_diff of 0.043015 for scaling parameter of 16.740000.
Found r_diff of 0.057295 for scaling parameter of 16.760000.
Found r_diff of 0.050021 for scaling parameter of 16.780000.
Found r_diff of 0.057259 for scaling parameter of 16.800000.
Found r_diff of 0.043770 for scaling parameter of 16.820000.
Found r_diff of 0.037077 for scaling parameter of 16.840000.
Found r_diff of 0.042368 for scaling parameter of 16.860000.
Found r_diff of 0.044945 for scaling parameter of 16.880000.
Found r_diff of 0.039823 for scaling parameter of 16.900000.
Found r_diff of 0.059502 for scaling parameter of 16.920000.
Found r_diff of 0.048296 for scaling parameter of 16.940000.
Found r_diff of 0.036394 for scaling parameter of 16.960000.
Found r_diff of 0.053761 for scaling parameter of 16.980000.
Found r_diff of 0.039898 for scaling parameter of 17.000000.
Found r_diff of 0.054403 for scaling parameter of 17.020000.
Found r_diff of 0.039504 for scaling parameter of 17.040000.
Found r_diff of 0.036851 for scaling parameter of 17.060000.
Found r_diff of 0.053432 for scaling parameter of 17.080000.
Found r_diff of 0.052371 for scaling parameter of 17.100000.
Found r_diff of 0.036638 for scaling parameter of 17.120000.
Found r_diff of 0.041788 for scaling parameter of 17.140000.
Found r_diff of 0.034036 for scaling parameter of 17.160000.
Found r_diff of 0.034769 for scaling parameter of 17.180000.
Found r_diff of 0.035435 for scaling parameter of 17.200000.
Found r_diff of 0.042664 for scaling parameter of 17.220000.
Found r_diff of 0.041428 for scaling parameter of 17.240000.
Found r_diff of 0.042617 for scaling parameter of 17.260000.
Found r_diff of 0.041335 for scaling parameter of 17.280000.
Found r_diff of 0.041978 for scaling parameter of 17.300000.
Found r_diff of 0.028827 for scaling parameter of 17.320000.
Found r_diff of 0.030661 for scaling parameter of 17.340000.
Found r_diff of 0.040255 for scaling parameter of 17.360000.
Found r_diff of 0.028771 for scaling parameter of 17.380000.
Found r_diff of 0.027642 for scaling parameter of 17.400000.
Found r_diff of 0.048260 for scaling parameter of 17.420000.
Found r_diff of 0.041023 for scaling parameter of 17.440000.
Found r_diff of 0.038603 for scaling parameter of 17.460000.
Found r_diff of 0.018846 for scaling parameter of 17.480000.
Found r_diff of 0.040890 for scaling parameter of 17.500000.
Found r_diff of 0.031865 for scaling parameter of 17.520000.
Found r_diff of 0.035594 for scaling parameter of 17.540000.
Found r_diff of 0.035241 for scaling parameter of 17.560000.
Found r_diff of 0.033377 for scaling parameter of 17.580000.
Found r_diff of 0.032231 for scaling parameter of 17.600000.
Found r_diff of 0.032697 for scaling parameter of 17.620000.
Found r_diff of 0.030250 for scaling parameter of 17.640000.
Found r_diff of 0.026324 for scaling parameter of 17.660000.
Found r_diff of 0.034829 for scaling parameter of 17.680000.
Found r_diff of 0.046286 for scaling parameter of 17.700000.
Found r_diff of 0.044314 for scaling parameter of 17.720000.
Found r_diff of 0.035806 for scaling parameter of 17.740000.
Found r_diff of 0.031613 for scaling parameter of 17.760000.
Found r_diff of 0.025177 for scaling parameter of 17.780000.
Found r_diff of 0.029169 for scaling parameter of 17.800000.
Found r_diff of 0.033268 for scaling parameter of 17.820000.
Found r_diff of 0.022206 for scaling parameter of 17.840000.
Found r_diff of 0.032120 for scaling parameter of 17.860000.
Found r_diff of 0.036513 for scaling parameter of 17.880000.
Found r_diff of 0.035994 for scaling parameter of 17.900000.
Found r_diff of 0.023313 for scaling parameter of 17.920000.
Found r_diff of 0.039117 for scaling parameter of 17.940000.
Found r_diff of 0.038121 for scaling parameter of 17.960000.
Found r_diff of 0.027085 for scaling parameter of 17.980000.
Found r_diff of 0.016206 for scaling parameter of 18.000000.
Found r_diff of 0.020076 for scaling parameter of 18.020000.
Found r_diff of 0.018514 for scaling parameter of 18.040000.
Found r_diff of 0.046178 for scaling parameter of 18.060000.
Found r_diff of 0.034862 for scaling parameter of 18.080000.
Found r_diff of 0.015787 for scaling parameter of 18.100000.
Found r_diff of 0.020963 for scaling parameter of 18.120000.
Found r_diff of 0.035352 for scaling parameter of 18.140000.
Found r_diff of 0.041263 for scaling parameter of 18.160000.
Found r_diff of 0.039566 for scaling parameter of 18.180000.
Found r_diff of 0.031896 for scaling parameter of 18.200000.
Found r_diff of 0.035801 for scaling parameter of 18.220000.
Found r_diff of 0.028854 for scaling parameter of 18.240000.
Found r_diff of 0.023714 for scaling parameter of 18.260000.
Found r_diff of 0.037036 for scaling parameter of 18.280000.
Found r_diff of 0.016338 for scaling parameter of 18.300000.
Found r_diff of 0.032836 for scaling parameter of 18.320000.
Found r_diff of 0.021924 for scaling parameter of 18.340000.
Found r_diff of 0.030288 for scaling parameter of 18.360000.
Found r_diff of 0.035265 for scaling parameter of 18.380000.
Found r_diff of 0.023110 for scaling parameter of 18.400000.
Found r_diff of 0.024872 for scaling parameter of 18.420000.
Found r_diff of 0.025087 for scaling parameter of 18.440000.
Found r_diff of 0.015695 for scaling parameter of 18.460000.
Found r_diff of 0.023374 for scaling parameter of 18.480000.
Found r_diff of 0.015583 for scaling parameter of 18.500000.
Found r_diff of 0.016768 for scaling parameter of 18.520000.
Found r_diff of 0.023740 for scaling parameter of 18.540000.
Found r_diff of 0.005201 for scaling parameter of 18.560000.
Found scaling parameter of 18.560000 to match average R of 0.736395 for group Aichi/1968 current study
Performing exact randomization testsBeginning comparision: Aichi/1968 vs PR/1934
Simulating dataPerforming 1000 simulated experiments
Average pairwise Pearson's R in group Aichi/1968 = 0.533594
Average pairwise Pearson's R in group PR/1934 = 0.594257
Searching for a scaling parameter for the Dirichlet that results in data with an average pairwise Pearson's R within 0.010000 of the actual data
Found r_diff of 0.302248 for scaling parameter of 1.000000.
Found r_diff of 0.304660 for scaling parameter of 1.020000.
Found r_diff of 0.302208 for scaling parameter of 1.040000.
Found r_diff of 0.303377 for scaling parameter of 1.060000.
Found r_diff of 0.307595 for scaling parameter of 1.080000.
Found r_diff of 0.291985 for scaling parameter of 1.100000.
Found r_diff of 0.297334 for scaling parameter of 1.120000.
Found r_diff of 0.285036 for scaling parameter of 1.140000.
Found r_diff of 0.296396 for scaling parameter of 1.160000.
